UID,Name,Age,Email,Phone,Gender
1,Alex,22,alex@textmail.com,1243453425,male
2,Helen,17,helen@textmail.com,6457634543,female
3,Max,45,Max-1@textmail.com,7657324322,male
4,John,12,j@textmail.com,9345723467,male
5,Ivan,77,Ivan-777@textmail.com,2345324543,male
6,Peter,35,pp@textmail.com,7456342343,male
7,Ann,53,annie@textmail.com,8563445233,female
8,Matt,33,mett@textmail.com,6435433452,male
9,Kate,21,katerina@textmail.com,2453546444,female
10,Jack,43,jj@textmail.com,8967443234,male
11,Taras,37,tar@somemail.com,5464353534,male
12,"Leo D.",42,leo@gmail.com,3534522456,male
